epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,lambda_max,sharp_mean,sharp_max
1,2.276011557543719,0.3210925925925926,2.2258022416432697,0.6616666666666666,2.224641058731079,0.6565,0.49800318479537964,-7.152557657263969e-08,4.76837158203125e-07
2,2.1330381446414526,0.6858148148148148,1.9747384525934855,0.6936666666666667,1.9673232753753662,0.6913,1.9315991401672363,-2.2649764730431343e-07,9.5367431640625e-07
3,1.694788343111674,0.7063148148148148,1.3128299182256062,0.754,1.29630907497406,0.7623,7.468081951141357,9.536743306171047e-08,9.5367431640625e-07
4,1.0176383845011394,0.7871111111111111,0.7609768233299256,0.8205,0.7485632711410523,0.8226,11.98583984375,-5.9604645663569045e-09,8.344650268554688e-07
5,0.6605553816512779,0.8299814814814814,0.5609603290557861,0.8511666666666666,0.552780220079422,0.8517,15.874897956848145,-5.364418242947977e-08,7.152557373046875e-07
6,0.526546830954375,0.8565555555555555,0.4755897577603658,0.8696666666666667,0.4684725910186768,0.8718,16.963897705078125,-1.758337049295733e-07,7.748603820800781e-07
7,0.46160224765318414,0.8727407407407407,0.42629257917404173,0.8836666666666667,0.42010389471054077,0.885,16.492382049560547,-1.7881394143159923e-08,8.046627044677734e-07
8,0.4220071205916228,0.8822407407407408,0.3942314555644989,0.8913333333333333,0.3891977735042572,0.8916,16.93670654296875,2.3841858265427618e-08,3.8743019104003906e-07
9,0.3949009974091141,0.8885,0.37346421376864114,0.8965,0.3673845100402832,0.8955,16.914714813232422,8.940696716308594e-08,4.172325134277344e-07
10,0.3749306777936441,0.8939074074074074,0.3563761126200358,0.9006666666666666,0.3520143580913544,0.899,16.25366973876953,-7.748604247126423e-08,7.748603820800781e-07
